"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 20 00:25:56 EET 2021","Sun Jun 20 00:25:58 EET 2021","1958","module_5","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"skipped","Sun Jun 20 00:26:33 EET 2021","Sun Jun 20 00:26:36 EET 2021","2833","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sun Jun 20 00:26:17 EET 2021","Sun Jun 20 00:26:29 EET 2021","12316","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sun Jun 20 00:27:28 EET 2021","Sun Jun 20 00:27:39 EET 2021","10973","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Sun Jun 20 00:26:01 EET 2021","Sun Jun 20 00:26:14 EET 2021","13013","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sun Jun 20 00:25:50 EET 2021","Sun Jun 20 00:25:53 EET 2021","2464","module_5","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"skipped","Sun Jun 20 00:26:14 EET 2021","Sun Jun 20 00:26:14 EET 2021","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"skipped","Sun Jun 20 00:26:14 EET 2021","Sun Jun 20 00:26:14 EET 2021","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
"skipped","Sun Jun 20 00:26:14 EET 2021","Sun Jun 20 00:26:14 EET 2021","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Sun Jun 20 00:26:49 EET 2021","Sun Jun 20 00:26:51 EET 2021","1820","module_5","test_product_page","TestProductPage","","","test_should_be_on_product_page",""
"skipped","Sun Jun 20 00:26:14 EET 2021","Sun Jun 20 00:26:14 EET 2021","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"skipped","Sun Jun 20 00:26:14 EET 2021","Sun Jun 20 00:26:14 EET 2021","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Sun Jun 20 00:27:49 EET 2021","Sun Jun 20 00:27:53 EET 2021","3977","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"skipped","Sun Jun 20 00:26:14 EET 2021","Sun Jun 20 00:26:14 EET 2021","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"skipped","Sun Jun 20 00:26:14 EET 2021","Sun Jun 20 00:26:14 EET 2021","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"skipped","Sun Jun 20 00:26:39 EET 2021","Sun Jun 20 00:26:46 EET 2021","6740","module_5","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Sun Jun 20 00:26:59 EET 2021","Sun Jun 20 00:27:02 EET 2021","2187","module_5","test_product_page","TestProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"skipped","Sun Jun 20 00:26:14 EET 2021","Sun Jun 20 00:26:14 EET 2021","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"skipped","Sun Jun 20 00:26:14 EET 2021","Sun Jun 20 00:26:14 EET 2021","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Sun Jun 20 00:26:55 EET 2021","Sun Jun 20 00:26:57 EET 2021","2170","module_5","test_product_page","TestProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Sun Jun 20 00:27:05 EET 2021","Sun Jun 20 00:27:18 EET 2021","12688","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"skipped","Sun Jun 20 00:26:14 EET 2021","Sun Jun 20 00:26:14 EET 2021","0","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
